Id,Review,English Translation (Approximate) ,,,,,,,,,
432,നല്ല സിനിമയെ സ്നേഹിക്കുന്ന ഏതൊരാളും കണ്ടിരിക്കേണ്ട സിനിമയാണ്.വളരെ മോശം ജോലിയാണ് സംവിധായകൻ ചെയ്തിരിക്കുന്നത്.സിനിമയുടെ കഥയും തിരക്കഥയും വളരെ മോശമായി തോന്നി.,Anyone who loves a good movie is a bad job.,,,,,,,,,
433,ആസ്വാദകരെ ഒരുപാട് അർത്ഥ തലങ്ങളിലേക്ക് കൊണ്ടുപോകുന്ന ഒരു സിനിമയാണ് ചുരുളി. എടുത്തു പറയേണ്ട മറ്റൊരു കാര്യം ഇതിലെ പശ്ചാത്തല സംഗീതത്തെ പറ്റിയാണ് ഓരോ കഥാ സന്ദർഭത്തിനും അനുയോജ്യമായ പശ്ചാത്തലസംഗീതമാണ് ഇതിൽ നൽകിയിരിക്കുന്നത്. പക്ഷേ ചിലപ്പോഴൊക്കെ ഇതിലെ ഭാഷ അരോചകമായി തോന്നിയെന്നതൊഴിച്ചാൽ അഭിനയം തിരക്കഥ കൊണ്ടും വളരെ മികവുറ്റ ഒരു ചിത്രം തന്നെയാണ് ചുരുളി. പാട്ടുകൾ എല്ലാം തന്നെ വളരെ മോശമായാണ് തോന്നിയത്. കേൾക്കാൻ ഇമ്പമില്ലാത്ത സംഗീതമായിരുന്നു. ,"The scroll is a movie that carries the enthuses to a lot of intersections to a meaningful level.Another case to take highlight the background music is similar to the ideal music for each of the storytells.But sometimes, a manifestation of acting screaming is a very highly active script.The songs were all very bad.Was a seamless music to hear.",,,,,,,,,
434,കമ്മത്ത് ആൻഡ് കമ്മത്ത് എന്ന സിനിമ മമ്മൂട്ടി ദിലീപ് എന്നീ മികച്ച നടന്മാരുടെ ഒരു കോമഡി സിനിമയായിരുന്നു സിനിമയുടെ സംവിധാനവും മികച്ചതായിരുന്നു. തീർത്തും വ്യത്യസ്തമായ ഒരു കഥ ആയിരുന്നു കമ്മത്ത് ആൻഡ് കമ്മത്ത് എന്ന സിനിമയുടേത്. സിനിമയിലെ കഥാപാത്രങ്ങളുടെ തിരഞ്ഞെടുപ്പും മികച്ചതായിരുന്നു,The film was also a comedy film of the film 'Mammootty Dileep' and Mammootty Dileep.It was a film of the commut and Kammath.The elections of the movie were the best,,,,,,,,,
435,കൊള്ളാം.,Good.,,,,,,,,,
436,"അർത്ഥമോ ലക്ഷ്യമോ ദിശാബോധമോ ഇല്ലാത്ത ഒരു ജീവിതത്തിൽ ഫ്രഞ്ച് സമൂഹത്തിന്റെ അതിരുകളിൽ മോണ ജീവിക്കുന്നു.<br /><br />എല്ലാ മികച്ച അവലോകനങ്ങളും കാരണം ഞാൻ ഇത് കണ്ടു, പക്ഷേ എനിക്ക് എന്തെങ്കിലും നഷ്ടമായിരിക്കുമെന്ന് ഞാൻ ഭയപ്പെടുന്നു. മോന എന്ന കഥാപാത്രത്തിന് വ്യക്തിത്വമില്ല അല്ലെങ്കിൽ വ്യക്തിത്വമില്ല.മെയിൻ കഥാപാത്രത്തിന്റെ  ആക്ടിങ് വളരെ മോശമായിരുന്നു . മിസ്കാസ്റ് ആയിപ്പോയി. ഭയങ്കര മോശം സിനിമാട്ടോഗ്രഫി ആയിരുന്നു ഇതിൽ.  കാണാൻ ഒട്ടും സുഖം തോന്നിയില്ല. ","In a life that there is a meaning or purpose, the French society lives in the French society. <br /> <br /> I've seen it because of all the best reviews.The role of Monoa has no personal or an acting of the.Main Role.Became the misscass.It was terrible bad cinematography.It was not feeling at all.",,,,,,,,,
437,"മേക്കിംഗ് ക്ലാസിക് ആണ്.ബിജിഎം വേറേ ലേവൽ. പിന്നെ നടന്മാരുടെ അഭിനയം, പ്രത്യേകിച്ച് മമ്മൂട്ടി, സൗബിൻ, ഷൈൻ. പടം വ്യക്തിപരമായ നല്ലൊരു  എസ്‌പീരിയൻസ് ആയിരുന്നു","The Making Classic is the Bigm root.And the actors, especially Mammootty, Soubin, Shine.The Photos was a personalized feasitans",,,,,,,,,
438,"നിരവധി പേരുള്ള അഭിനേതാക്കൾ (ലാൻസ് ഹെൻ‌റിക്‌സൺ, ഡേവിഡ് വാർണർ, ജോ ഡോൺ ബേക്കർ), എന്തുകൊണ്ടാണ് ജെഫ്രി കോംബ്‌സിന് നായകസ്ഥാനം ലഭിച്ചത്? വാർണർ, ബേക്കർ അല്ലെങ്കിൽ ചാൾസ് നേപ്പിയർ പോലുള്ള സിനിമയിലെ മറ്റുള്ളവരെപ്പോലെ തന്നെ ഹെൻറിക്‌സണും നായകന് തികച്ചും അനുയോജ്യനാകുമായിരുന്നു. ഇതിൽ കോംബ്‌സ് തെറ്റായി കാസ്‌റ്റ് ചെയ്‌തു, അതിന്റെ മോശം ജോലി ചെയ്തു. അവൻ ചെയ്തതെല്ലാം വ്യാജമോ ആസൂത്രിതമോ ആയി തോന്നി.<br /><br />തിരക്കഥ മോശമാണ്.സ്‌ക്രീൻ പ്ലേ പൂർണ്ണമായും കുറവായിരുന്നു. സംവിധായകൻ ഇത് തിരിച്ചറിഞ്ഞ് സിനിമയെ സഹായിക്കണമായിരുന്നു.","With so many names in the cast (Lance Henrikson, David Warner, Joe Don Baker), why did Jeffrey Combs get the lead? Henriksen would have been a perfect fit for the lead, as would others in the film such as Warner, Baker or Charles Napier. Combs was miscast in this one and did a poor job of it. Everything he did seemed fake or contrived.<br /><br />The screenplay is bad.The screenplay was totally lacking. The director should have realized this and helped the film.",,,,,,,,,
439,"വേറിട്ടൊരു ത്രില്ലർ പ്രമേയം,അത്യാവശ്യം ഇന്റെൻസ്  ആയ കഥാഗതി,ആദ്യാവസാനം നിലനിൽക്കുന്ന മർമ്മം ...'നിഴൽ' എന്ന ചിത്രം കാണാൻ പ്രേരിപ്പിക്കുന്ന ഘടകങ്ങൾ ഇവയൊക്കെയാണെങ്കിലും ഒരു അപൂർണ്ണത എവിടെയൊക്കെയോ സംഭവിക്കുന്ന ഫീലാണ് ചിത്രം അവശേഷിപ്പിക്കുന്നത്.ഒരു ഇൻവെസ്റ്റിഗേഷൻ  മൂഡ്  സെറ്റ് ചെയ്ത് അതിൽ സൈക്കോളജിക്കൽ  ആയ പ്ലോട്ട്  കൊണ്ട് വരുമ്പോൾ കുറേക്കൂടി ഉദ്വേഗവും,ത്രില്ലർ എലമെൻ്റ്സും പ്രേക്ഷകർ പ്രതീക്ഷിക്കും.അത് അത്ര മികവിൽ എക്സിക്യൂട്ട്  ചെയ്തതായി തോന്നിയില്ല.എങ്കിലും പതിവ് രീതികളിൽ നിന്ന് മാറി അൽപ്പം വേറിട്ടൊരു ത്രില്ലെർ  എക്സ്പീരിയൻസ്  നൽകാൻ ചിത്രത്തിന് കഴിയുന്നുണ്ട്.സാങ്കേതിക വശങ്ങളിലെ മികവും,പശ്ചാത്തല സംഗീതത്തിൻ്റെ മേന്മയും ചിത്രത്തിൻ്റെ പ്ലസ്  പോയ്ന്റ്സ്  തന്നെയാണ്.","A distinct thriller theme, a very intense story line, a mystery at the end... these are all the factors that make you watch the film 'Shadow', but the film leaves a feeling of incompleteness somewhere. When an investigation mood is set and a psychological plot is added to it, the audience can expect more excitement, thriller elements and more. .It did not seem to be executed very well. However, the film manages to give a slightly different thriller experience away from the usual methods. The excellence in technical aspects and the quality of the background music are the plus points of the film.",,,,,,,,,
440,"മൊത്തത്തിൽ, ജി.അരവിന്ദന്റെ ഒരു നിരാശാജനകമായ സിനിമയാണ് കുമ്മട്ടി, ഇത് കാണേണ്ടതില്ല.ക്ലീഷേഡ് സാഹചര്യങ്ങളും താൽപ്പര്യമില്ലാത്ത സംഭാഷണങ്ങളും ഉള്ള തിരക്കഥ മോശമാണ്. വളരെ നല്ല കാസ്റ്റിംഗ് ആയിരുന്നു ഈ സിനിമയിൽ. ","Overall, G. Aravindan's Kummati is a disappointing movie and should not be watched. The screenplay is poor with clichéd situations and uninteresting dialogues. Casting was very good in this movie.",,,,,,,,,
441,അവസാനത്തെ സിനിമ കണ്ടു. ഉള്ളൊന്നു വിങ്ങി... ഇപ്പോളും അത് മാറീട്ടില്ല.കാസ്റ്റിംഗ് മികച്ചതായിരുന്നു. പക്ഷെ സംവിധാനം വളരെ ദുർബലം ആയിട്ടാണ് തോന്നിയെ. സംവിധായകൻ വളരാൻ ഇനിയും ഒരുപാട് പഠിക്കാൻ ഇരിക്കുന്നു. ,Saw the last film.... it is not .It is not.But the direction seems to be very weak.The director is still able to learn a lot.,,,,,,,,,
442,"കഥ: കഥ അദ്വിതീയവും ആകർഷകവുമാണ്, കൂടാതെ സ്വപ്നങ്ങൾ, യാഥാർത്ഥ്യം, സ്വത്വം എന്നിവയുടെ തീമുകൾ കൈകാര്യം ചെയ്യുന്നു","Story: The story is handled by the themes of dreams, reality, and identity",,,,,,,,,
443,നയൻതാര ഉള്ളതുകൊണ്ട് കണ്ട പടം,"Since Nayanthara, he saw",,,,,,,,,
444,കുഞ്ചാകോ യും നയൻസും ഒന്നിചപോൾ നല്ലൊരു കിട്ടുക്കൻ ത്രില്ലർ ആണ് പ്രതിക്ഷിച്ചത് . എന്നാൽ പ്രതിക്ഷക്കെത്ത് വന്നില്ല. എങ്കിലും കോൺസെപ്റ്  കൊള്ളാമായിരുന്നു. മലയാള സിനിമയിലേ ഇതു പോലുള്ള ചുവടു മാറ്റങ്ങൾ പ്രോത്സാഹിക്കപെടേണ്ടത് തന്നെയാണ്,Kanjaka and Nayans were arrested by a good lovers of Triller.But not a respair.But the Concenture was good.The steps like this is to promote the changes in Malayalam cinema,,,,,,,,,
445,"എന്നും കോമഡി പടങ്ങൾ മാത്രം ചെയ്തുകൊണ്ടിരുന്ന മിഥുൻ മാനുവൽ തോമസ് ത്രില്ലർ പടങ്ങളിലേക്ക് തിരിഞ്ഞപ്പോൾ മലയാള സിനിമ കണ്ട വളരെ മികച്ച ഒരു സിനിമയായിരുന്നു നമുക്ക് ലഭിച്ചത് . കാസ്റ്റിംഗ് , സംവിധാനം കഥ തിരക്കഥ അങ്ങനെ എല്ലാ കാര്യങ്ങളും മികച്ചതായിരുന്നു എങ്കിലും ബാക്ക്ഗ്രൗണ്ട് മ്യൂസിക് ഉണ്ടാക്കിയ സ്വാധീനം വളരെ എടുത്തു പറയേണ്ടിയിരിക്കുന്നു . പാട്ടുകൾ എല്ലാം തന്നെ വളരെ മോശമായാണ് തോന്നിയത്. കേൾക്കാൻ ഇമ്പമില്ലാത്ത സംഗീതമായിരുന്നു. ","When the Mithun man manuel Thomas Threllurer turned to the Mithun Manuel Thomas Threllers, who was only committed to the shoots of Mithuna Manual.Casting and Director Through the Screenplay The script was great so that the impact of the Background Music has to be very important.The songs were all very bad.Was a seamless music to hear.",,,,,,,,,
446,തിരക്കഥ ദുർബലവും ആഴമില്ലാത്തതും മറക്കാനാവാത്ത കാഴ്ചാനുഭവം നൽകുന്നു.കഥ വളഞ്ഞുപുളഞ്ഞ് പ്രേക്ഷക ശ്രദ്ധ പിടിച്ചുപറ്റുന്നതിൽ പരാജയപ്പെടുന്നു.,Screenplay is weak and shallow and unrembled views.,,,,,,,,,
447,എനിക്ക് സിനിമ ഒരു ശരാശരിക്ക് മുകളിൽ ആണെന്ന് തോന്നിയത്..... ആദ്യ പകുതി ഒരു മാസ്സ് ഹീറോയുടെ ക്ലാസ്സ് പ്രകടനവും അടുത്ത പകുതി മാസ്സ് കൊണ്ട് ഒരു തലപതിയുടെ ക്ലാസ്സ് പ്രകടനവും,I thought it was on top of a mean of the movie,,,,,,,,,
448,". അദ്ദേഹത്തിന്റെ ആദ്യകാല സിനിമകൾ എനിക്ക് വളരെ ഇഷ്ടമായിരുന്നു, അതുകൊണ്ടാണ് ഇത്തരമൊരു കാര്യം കാണുന്നത് പ്രത്യേകിച്ചും നിരാശാജനകമായത്. അദ്ദേഹത്തിന്റെ അടുത്തത് മികച്ചതായിരിക്കുമെന്ന് നമുക്ക് പ്രതീക്ഷിക്കാം.പ്രതീക്ഷിച്ചത്ര അഭിനയമോ സിനിമയോ വന്നില്ല എന്നിരുന്നാലും ക്യാമറമാനെ പറയാണ്ടിരിക്കാൻ വയ്യ . തീ ",".I liked his early films, especially that is, especially what such a thing is seen.Let us expect his next to be better. The cameram is not coming to the acting or film yet.Fire",,,,,,,,,
449,ഈ സിനിമ പതിനഞ്ചു മിനിറ്റ് കണ്ടപ്പോൾ തന്നെ എണീറ്റ് പോയത് കൊണ്ട് ജീവിതത്തിലെ രണ്ടേകാൽ മണിക്കൂർ നഷ്ടപ്പെട്ടില്ല,This film did not lose the two hours of life in the last time when he saw fifteen minutes,,,,,,,,,
450,"കാസ്റ്റിംഗ് തിരഞ്ഞെടുപ്പുകൾ നല്ലതല്ല. അഭിനേതാക്കൾക്ക് ഒരുമിച്ച് രസതന്ത്രം ഇല്ലായിരുന്നു, അവരുടെ പ്രകടനങ്ങളിൽ ഫോൺ ചെയ്യുന്നതായി തോന്നി.","Casting choices are not good.The actors were no chemistry together, seemed to phone in their performance.",,,,,,,,,
451,അടിപൊളി ത്രില്ലർ. ,Supolia thriller.,,,,,,,,,
452,"റോബ്‌സ്പിയേഴ്‌സിന്റെ ദുരവസ്ഥയോടുള്ള സഹതാപം പോലെ, സിനിമ അവസാനിച്ചതിന് ശേഷം, അദ്ദേഹത്തിന്റെ താടിയെല്ല് പൊട്ടിച്ച് ഗില്ലറ്റിനിലേക്ക് അയയ്‌ക്കപ്പെടും എന്നറിയുന്നത് ആശ്വാസകരമാണ്.","It is comforting to see that the film will be sent to the guillotine, like the calamity of Robspiers.",,,,,,,,,
453,തീർച്ചയായും പശ്ചാത്തലസംഗീതം മാത്രമാണ് നല്ലതായി തോന്നിയത്. ,Of course background music was only good.,,,,,,,,,
454,"""ഇവിടെ""യിൽ നിവിൻ പോളി ഒട്ടും ചേരാത്ത കാസ്റ്റിംഗ്  ആണെന്നു എപ്പോഴും തോന്നിയിട്ടുണ്ട്. പുള്ളിക്ക് ഒട്ടും ചേരാത്ത റോൾ  ആണ്. മികച്ച ഛായാഗ്രഹണം ആയിരുന്നു.  ക്യാമറാമാൻ സ്വന്തം കഴിവ് തെളിയിച്ചു.","There is always always nivin chusting in ""here"".The speck is not joining the role.The best photography.The cameraman proved his own ability.",,,,,,,,,
455,"മലയാളത്തിലെ   ക്ലിഷേ ഡിറ്റക്റ്റീവ് സിനിമകളിൽ നിന്ന് വ്യത്യസ്തമായ കുറെ രംഗങ്ങൾ അഞ്ചാം പാതിരാ എന്ന സിനിമയിൽ ഉണ്ട്. നായകൻ മാത്രം കഥയെ മുന്പോട്ട് കൊണ്ട് പോകാത്ത സഹകഥാപാത്രങ്ങൾക്കും തുല്യമായ പ്രാധാന്യം നൽകിയ ഒരു സിനിമ എന്ന് തന്നെ പറയാം. അവസരത്തിന് ഓരോ ഷോർട്ടിനും അതിന്റെ ആഴവും ആഘാതവും നൽകുന്ന രീതിയിൽ ഉള്ള ബാക്ക്ഗ്രൗണ്ട് മ്യൂസിക് എടുത്ത് പറയേണ്ട ഒരു ഘടകമാണ്. ഒടുവിൽ ഏറെ വ്യത്യസ്തമായി തന്റെ ദൗത്യം പൂർത്തിയാക്കുന്ന വില്ലനും, എല്ലാത്തിലും വിജയിച്ചു 'ശുഭം' എന്ന് അവസാനിപ്പിക്കാതെ ഒരു സാധാരണ മനുഷ്യനെ പോലെ ഉത്തരം തേടി പോകുന്ന നായകനും പരമ്പരാഗത സിനിമകളിൽ നിന്ന് ഇതിനെ  വ്യത്യസ്തമാക്കുന്നു . ","There are some of the fifth Pathira fifth Pathra.It is said that the hero only the hero is a movie that is equal to the touts that will not go before.The opportunity is a factor that the Background Music is the Background Music, which is provided by its depth and impact.In the last different differently, the captains of a common man are different from traditional movies that will be able to succeed in a villain and successful in everything.",,,,,,,,,
456,"ഒരു ഗേൾസ് ഗോൺ വൈൽഡ് ഷൂട്ട് എന്ന മട്ടിൽ തടവുകാർ ഷവറിൽ പരസ്പരം സോപ്പ് തേച്ച് ഉരസുകയും ഗുസ്തി പിടിക്കുകയും ചെയ്യുന്നു, തുടർന്ന് എല്ലാവരും ഒരുമിച്ച് അവരുടെ ഡോമിൽ ചുറ്റിക്കറങ്ങുന്നു, പരസ്യമായി പാത്രത്തിൽ പുകവലിക്കുന്നു, രക്ഷപ്പെടാനുള്ള ഏറ്റവും നല്ല മാർഗം എന്താണെന്ന് ഒരു വലിയ ഗ്രൂപ്പായി ചർച്ച ചെയ്യുന്നു. ഏതൊക്കെ ഏൻഡ് കഥയാണ് . വളരെ മോശം ","The prisoners of a Girls Gon Wild Shoot are discussed as a large group, which everyone is around each other together.Which is a long story.too bad",,,,,,,,,
457,"നായകന്റെ തെറ്റായ കാസ്റ്റിംഗ് സിനിമയെ ശരിക്കും നശിപ്പിച്ചു. ഛായാഗ്രഹണത്തിന് സർഗ്ഗാത്മകത ഇല്ലാതിരിക്കുകയും ദൃശ്യപരമായി ശ്രദ്ധേയമായ നിമിഷങ്ങൾ സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെടുകയും ചെയ്യുന്നു, ഇത് ദൃശ്യപരമായി ശ്രദ്ധേയമായ അനുഭവത്തിന് കാരണമാകുന്നു. സിനിമ മോശം ആവാനുള്ള  മെയിൻ  കാരണം  മിസ്‌കാസ്റ്റിംഗ്   ആണ്","Really destroyed the wrong casting movie.The cinematography is not creativity and fail to create visually remarkable moments, which causes visually remarkable experience.Misscasting is the worst reason for the masty",,,,,,,,,
458,"സിനിമയിൽ ചില നല്ല കാര്യങ്ങൾ മാത്രമേ ഉണ്ടായിരുന്നുള്ളൂ, റോയൻ, നഹൂദ്, ടൈറ്റ, ബോറിസ്, മിക്ക്, ടെസ്സെ എന്നിവരെ അവതരിപ്പിച്ച അഭിനേതാക്കളെ നന്നായി തിരഞ്ഞെടുത്തു, ബാക്കിയുള്ളവർ പുസ്തകത്തിലെ കഥാപാത്രങ്ങളുടെ പാരഡികൾ മാത്രമായിരുന്നു, റാസ്ഫറാണ് ഏറ്റവും മോശം, അത് ചെയ്തില്ല. 'ഞാൻ പുസ്തകം എഴുതുമ്പോൾ എന്റെ തലയിൽ ഉണ്ടായിരുന്ന കഥാപാത്രത്തോട് അടുത്ത് പോലും എത്തില്ല.. ഇത്രയും മഹത്തായ ഒരു പുസ്തകം ഇത്രയും മോശമായ പുനർനിർമ്മാണത്തിൽ വികൃതമാക്കിയത് വളരെ ലജ്ജാകരമാണ്...  പാട്ടുകൾ മോശമല്ലായിരുന്നു. ഭയങ്കര മോശം സിനിമാട്ടോഗ്രഫി ആയിരുന്നു ഇതിൽ.  കാണാൻ ഒട്ടും സുഖം തോന്നിയില്ല. ","There were only one good things in the movie, the actors presented to Rayen, Nahu, Tita, Boris, Mick and Tesse, but were the worst of the characters in the book.'I don't even come close to the role of such a great book when I write. The songs were not bad.It was terrible bad cinematography.It was not feeling at all.",,,,,,,,,
459,കള്ളന്മാരുടെ പ്രണയത്തിനോട് ഒരു ഇഷ്ടം തോന്നിയ ചിത്രം. ,The picture of thieves seemed to have a choice.,,,,,,,,,
460,നല്ലപാട്ടുകൾ അവതരണം തമാശയോടുകൂടിയുള്ള സംഭാഷണങ്ങൾ പിന്നെ നായകന്റെ അഭിനയ വും നല്ലതാണ്,Good pagination Presentation is a good conversation with fun,,,,,,,,,
461,"രാജ്കുമാർ സന്തോഷിയുടെ സംവിധാനം സാധാരണ നിലവാരം പുലർത്തിയില്ല, തിരക്കഥ മോശമായി എഴുതിയിരിക്കുന്നു. വളരെ നല്ല കാസ്റ്റിംഗ് ആയിരുന്നു ഈ സിനിമയിൽ. ",Rajkumar Santoshi's direction was not up to standard and the screenplay was poorly written. Casting was very good in this movie.,,,,,,,,,
462, ഇഷ്ടപ്പെടാത്ത കഥാപാത്രങ്ങളും അഭിനയവും  നിലവിലില്ലാത്ത ഒരു പ്രസക്തിയും ഇല്ലാത്ത ഇതിവൃത്തവും  ഉള്ള സിനിമകളെ ഞാൻ എത്രമാത്രം വെറുക്കുന്നുവെന്ന് മനസ്സിലാക്കി. ഈ സിനിമയും ആ സിനിമകളിൽ ഒന്നാണ്. ഭയങ്കര മോശം സിനിമാട്ടോഗ്രഫി ആയിരുന്നു ഇതിൽ.  കാണാൻ ഒട്ടും സുഖം തോന്നിയില്ല. ,"I realized how much I hate movies with unlikable characters, acting, non-existent plot and non-existent plot. This movie is one of those movies. It had terrible cinematography. It didn't look good at all.",,,,,,,,,
463,ശരാശരി സംവിധാനം അഭിനയം കാസ്റ്റിംഗ് എഡിറ്റിംഗ്.  ,Acting casting editing of the average direction.,,,,,,,,,
464,"ഈ സിനിമ എന്നെ അവസാനം കരയിപ്പിച്ചു! ആഴ്ചയിൽ 3-4 സിനിമകളെങ്കിലും കാണും. ഞാൻ ഒരുപാട് മികച്ച സിനിമകൾ കണ്ടു, അതിലും മോശം സിനിമകൾ. എന്നാൽ സീൻ അവസാനിച്ചപ്പോൾ - കാതർസിക് അറ്റ് അതിന്റെ കാതൽ - വന്നു ഞാൻ കരഞ്ഞു! സംഗീതം എതിരെ പ്രശംസിച്ചാലും മതിയാവില്ല. സംവിധായകൻ പ്രതീക്ഷ തെറ്റിച്ചില്ല. വേറെ ആര് ചെയ്താലും ഇത്ര പെർഫെക്ഷൻ വരില്ല ","This movie has rooted me up!It will see at least 3-4 movies per week.I saw a lot of great movies, worse movies.But when Zean ended -, when the catarsek at was its core, I wept!The music is not enough.The director did not hop.If there is other performance, so doesn't so perfection",,,,,,,,,
465,"ഒരു അന്താരാഷ്ട്ര ലവൽ ഉള്ള പടം എന്ന് എനിക്ക് തോന്നിയിട്ടുണ്ട്.ഇതിൻ്റെ സംവിധാവും ഛായാഗ്രഹണം, എഡിറ്റിംഗ് എടുത്ത് പറയേണ്ടതാണ്. എന്നാലും ഭയങ്കര മോശം ബാക്ക്ഗ്രൗണ്ട്  മ്യൂസിക് ആയിരുന്നു.  ","I have felt that the film is an international level.However, terrible bad background music was the music.",,,,,,,,,
466,"ഈ ചിത്രത്തിലെ അഭിനയം ശരാശരിയായിരുന്നു,  അഭിനേതാക്കളുടെ പ്രകടനത്തിലെ അഭിനിവേശത്തിന്റെയും ബോധ്യത്തിന്റെയും അഭാവം എന്നെ നിരാശപ്പെടുത്തി","The acting in the film was averaged average, the lack of passion and conviction in the performance of actors",,,,,,,,,
467,സംഗീതം കൊള്ളാം. ഒരു സാധാരണ സിനിമ ,The music is good.A typical film,,,,,,,,,
468,"പ്രതീക്ഷിച്ച അത്ര നല്ല ഒരു  അനുഭവമായി തോന്നിയില്ല, ആവറേജ് മൂവി ആയിരുന്നു . എന്നാലും മേക്കിങ്  വളരെ മികച്ചതായി തോന്നപ്പെട്ടു","The average movie was not as good as expected, which was expected.However, Making looked great",,,,,,,,,
469,"""സെൻട്രൽ ഡോ ബ്രസീൽ"" (""സെൻട്രൽ സ്റ്റേഷൻ"", 1998) പോലെയുള്ള സിനിമകൾ എനിക്ക് ഇഷ്ടമായത് കൊണ്ട് തന്നെ ""ചോപ്പ് ഷോപ്പ്"" എനിക്ക് ശരിക്കും ഇഷ്ടമാണ്. ഷുഗർ കോട്ടിംഗ് ഇല്ല, അതോടൊപ്പം കഥാഗതി വളരെ ഗംഭീരമായും സൂക്ഷ്മമായും വികസിക്കുന്നു.  ഈ സിനിമ ശരിക്കും ഒരു നാടകീയതയ്ക്ക് പകരം ഒരു ഡോക്യുമെന്ററി പോലെ തോന്നുന്ന ഒരു മികച്ച ജീവിത രചനയാണ്, അത് വളരെ മികച്ച കാര്യമാണ്. ബി ജി എം നന്നായിരിക്കുന്നു.","""I really like the"" Chop shop ""because of the"" Central Dr Brazil ""("" Central Station ""and 1998).Sugar is not a coating, and the storytell is very elegant and subtracted.This movie is a great life of life that really seems like a dramatic is really like a documentary, it is very good.BG M is fine.",,,,,,,,,
470,"എനിക്ക് ഈ ചിത്രത്തെക്കുറിച്ച് വലിയ പ്രതീക്ഷയുണ്ടായിരുന്നു, പക്ഷേ മോശമായ  കാസ്റ്റിംഗും മങ്ങിയ കഥയും എന്നെ വഞ്ചിച്ചതായി തോന്നി. നിങ്ങളുടെ പണം ലാഭിച്ച് ഇത് ഒഴിവാക്കുക",I had a great hoping about this picture but felt bad casting and a diminish story seemed to have cheated me.Save your money and avoid it,,,,,,,,,
471,സാധാരണ എല്ലാ ദിവസവും 11 മണിക്ക് ശേഷം ഉറങ്ങുന്ന ഞാൻ 9 മണിക്ക് പടം തുടങ്ങി 20 മിനിറ്റിനകം ഉറങ്ങിപ്പോയി.പ്രിയ ലാലേട്ടാ ദയവുചെയ്ത് ഇമ്മാതിരി പടങ്ങൾ അഭിനയിക്കരുത്. താങ്കളെ മലയാളസിനിമയ്ക്ക് ഇനിയും ആവശ്യമുണ്ട്. ഭയങ്കര മോശം സിനിമാട്ടോഗ്രഫി ആയിരുന്നു ഇതിൽ.  കാണാൻ ഒട്ടും സുഖം തോന്നിയില്ല. ,"Sleeping after 11 o'clock usual, we sleep with the Imwri and baking in 20 minutes.Malayalamismsi is still needed for Malayalam.It was terrible bad cinematography.It was not feeling at all.",,,,,,,,,
472,"കാസ്റ്റിംഗ് കുറ്റമറ്റതാണ്, ഓരോ അഭിനേതാവും അവരുടെ കഥാപാത്രത്തിന് ജീവൻ നൽകുന്ന സൂക്ഷ്മവും അവിസ്മരണീയവുമായ പ്രകടനം കാഴ്ചവയ്ക്കുന്നു.","The casting is impeccable, with each actor giving a nuanced and memorable performance that brings their character to life.",,,,,,,,,
473,"അത് സെനയെയും ഹെർക്കുലീസിനെയും പോലെ ചരിത്രപരമായി കൃത്യതയുള്ളതായിരുന്നു. അബ്രഹാമും മോശയും നോഹയിൽ ലയിച്ചു. ലോത്ത്, അബ്രഹാമിന്റെ അനന്തരവൻ ലോത്ത്, അവൻ ജനിക്കുന്നതിന് ആയിരക്കണക്കിന് വർഷങ്ങൾക്ക് മുമ്പാണ്.","It was historically accurately accurately accurately accurately accurately as Senal and Herculees.Abraham and Moses merged into Noah.Lot, Abraham's neveam Lot, thousands of years before he was born.",,,,,,,,,
474,മികച്ച ഒരു സിനിമ. ത്രില്ലെർ ആണെങ്കിലും അന്നത്തേക്കാലത്തു കുടുംബങ്ങൾ ഏറ്റെടുത്ത ചിത്രം. ഒരുപക്ഷെ മോഹൻലാലിനെ കണ്ടിട്ടാവും കുടുംബപ്രക്ഷകർ കേറിയത്. മലയാള സിനിമക്ക് ഒരു pan indian ഐഡന്റിറ്റി ഉണ്ടാക്കി ,"A better movie.Though thriller, the image that was at the time it was the first time that the families were acquired.Family prospects were met to meet Mohanlal.A PAN Indian identity has made a PAN indian",,,,,,,,,
475,"പ്രകടനങ്ങൾ മങ്ങിയതാണ്, അഭിനേതാക്കൾ അവരുടെ റോളുകളിലേക്ക് ഒരു വികാരവും കൊണ്ടുവരുന്നതിൽ പരാജയപ്പെടുന്നു","Performances are dull, actors fail to bring a feeling to their roles",,,,,,,,,
